atk,r0,comp,t_a,lat_adwin_err,lat_adwin_rho,lat_ph_err,lat_ph_rho,lead_adwin,lead_ph
recon,0.001,15,1553,78,14,182,1,64,181
recon,0.001,16,1766,57,25,179,0,32,179
recon,0.001,17,2040,71,7,170,28,64,142
recon,0.001,18,788,75,11,184,23,64,161
recon,0.001,19,1038,81,17,181,24,64,157
recon,0.001,2,1274,69,37,178,2,32,176
recon,0.001,20,1274,69,37,179,20,32,159
recon,0.001,21,1553,78,14,183,1,64,182
recon,0.001,22,1764,59,27,180,19,32,161
recon,0.001,23,2031,80,16,176,11,64,165
recon,0.001,24,788,75,11,184,23,64,161
recon,0.001,25,1038,81,17,183,2,64,181
recon,0.001,26,1274,69,37,179,20,32,159
recon,0.001,27,1553,78,14,183,1,64,182
recon,0.001,28,1762,61,93,178,29,-32,149
recon,0.001,29,2043,68,36,173,2,32,171
recon,0.001,3,1553,78,14,183,1,64,182
recon,0.001,4,1766,57,25,179,29,32,150
recon,0.001,5,2038,73,9,172,4,64,168
recon,0.001,6,788,75,11,184,21,64,163
recon,0.001,7,1038,81,17,180,9,64,171
recon,0.001,8,1274,69,37,179,20,32,159
recon,0.001,9,1551,80,112,180,29,-32,151
recon,0.1,0,787,76,12,182,1,64,181
recon,0.1,1,1038,81,17,181,71,64,110
recon,0.1,10,1766,57,89,180,64,-32,116
recon,0.1,11,2038,73,9,172,18,64,154
recon,0.1,12,788,75,11,184,28,64,156
recon,0.1,13,1038,81,17,183,49,64,134
recon,0.1,14,1274,69,69,178,65,0,113
recon,0.1,15,1553,78,78,183,4,0,179
recon,0.1,16,1766,57,89,179,64,-32,115
recon,0.1,17,2038,73,9,172,18,64,154
recon,0.1,18,788,75,11,184,24,64,160
recon,0.1,19,1038,81,17,180,4,64,176
recon,0.1,2,1274,69,69,178,66,0,112
recon,0.1,20,1274,69,101,179,60,-32,119
recon,0.1,21,1553,78,78,182,4,0,178
recon,0.1,22,1766,57,89,182,65,-32,117
recon,0.1,23,2042,69,5,174,0,64,174
recon,0.1,24,788,75,11,184,24,64,160
recon,0.1,25,1037,82,82,182,1,0,181
recon,0.1,26,1274,69,69,178,65,0,113
recon,0.1,27,1553,78,78,180,4,0,176
recon,0.1,28,1766,57,89,182,65,-32,117
recon,0.1,29,2032,79,79,178,16,0,162
recon,0.1,3,1553,78,14,180,0,64,180
recon,0.1,4,1766,57,89,179,64,-32,115
recon,0.1,5,2038,73,9,172,18,64,154
recon,0.1,6,788,75,11,184,28,64,156
recon,0.1,7,1038,81,17,182,59,64,123
recon,0.1,8,1274,69,101,179,50,-32,129
recon,0.1,9,1553,78,14,180,0,64,180
