run,algorithm,attack,seed,flows_processed,attack_flows,benign_flows,anomaly_rate_pct,real_attack_rate_pct,precision,recall,f1,fpr,accuracy,tp,fp,tn,fn,throughput_fps,elapsed_s,git_commit,ground_truth,r0
micro_teda-benign-seed42,micro_teda,benign,seed42,3241,0,3241,3.795124961431657,0.0,0.0,0.0,0.0,0.03795124961431657,0.9620487503856834,0,123,3118,0,136.33537195096952,23.772260665893555,54b7a00,ip,0.1
micro_teda-ddos-seed42,micro_teda,ddos,seed42,10000,6307,3693,6.97,63.07,0.8421807747489239,0.09307119074044712,0.16761850371216447,0.029786081776333604,0.417,587,110,3583,5720,64.90157583979891,154.07946372032166,6581033,ip,0.1
micro_teda-mirai-seed42,micro_teda,mirai,seed42,4659,1369,3290,4.743507190384203,29.383987980253274,0.4841628959276018,0.07815924032140248,0.13459119496855346,0.034650455927051675,0.7046576518566215,107,114,3176,1262,144.87176112151255,32.15947651863098,fea56fb,ip,0.1
micro_teda-recon-seed42,micro_teda,recon,seed42,10000,5570,4430,4.14,55.7,0.6980676328502415,0.05188509874326751,0.09659090909090909,0.028216704288939052,0.4594,289,125,4305,5281,102.97784650893968,97.1082649230957,fea56fb,ip,0.1
micro_teda-syn-seed42,micro_teda,syn,seed42,10000,6325,3675,2.8899999999999997,63.25,0.5121107266435986,0.023399209486166007,0.04475355306924705,0.03836734693877551,0.3682,148,141,3534,6177,143.91550245553725,69.48521757125854,fea56fb,ip,0.1
micro_teda-tcp-seed42,micro_teda,tcp,seed42,10000,3755,6245,2.3800000000000003,37.55,0.40756302521008403,0.025832223701731025,0.04858502379163536,0.022578062449959968,0.6201,97,141,6104,3658,167.99432510319866,59.52582025527954,fea56fb,ip,0.1
ocsvm-benign-seed42,ocsvm,benign,seed42,3237,0,3237,23.663886314488725,0.0,0.0,0.0,0.0,0.23663886314488725,0.7633611368551128,0,766,2471,0,200.12190192130387,16.175141096115112,54b7a00,ip,0.1
ocsvm-ddos-seed42,ocsvm,ddos,seed42,10000,6312,3688,19.43,63.12,0.600102933607823,0.1847275031685678,0.2824954572986069,0.2106832971800434,0.4077,1166,777,2911,5146,781.5438437982618,12.79518747329712,6581033,ip,0.1
variant_V0_original-benign-seed42,variant_V0_original,benign,seed42,3228,0,3228,48.66790582403965,0.0,0.0,0.0,0.0,0.48667905824039653,0.5133209417596035,0,1571,1657,0,34.96439790458016,92.32248210906982,54b7a00,ip,0.1
variant_V0_original-ddos-seed42,variant_V0_original,ddos,seed42,10000,6301,3699,66.97999999999999,63.01,0.7096148103911616,0.7543247103634344,0.7312870220786215,0.5258177885915112,0.6507,4753,1945,1754,1548,10.87091748711272,919.8855581283569,6581033,ip,0.1
variant_V0_original-mirai-seed42,variant_V0_original,mirai,seed42,4654,1355,3299,47.2281908036098,29.114740008594758,0.25932666060054593,0.42066420664206644,0.32085561497326204,0.49348287359806003,0.4815212720240653,570,1628,1671,785,27.130014300723527,171.5443253517151,fea56fb,ip,0.1
