atk,r0,comp,t_a,lat_adwin_err,lat_adwin_rho,lat_ph_err,lat_ph_rho,lead_adwin,lead_ph
recon,0.1,22,1766,89,121,205,116,-32,89
recon,0.1,23,2043,68,36,183,113,32,70
recon,0.1,24,788,139,75,209,107,64,102
recon,0.1,25,1038,81,49,200,23,32,177
recon,0.1,26,1272,71,71,196,74,0,122
recon,0.1,27,1553,78,46,196,57,32,139
recon,0.1,28,1762,61,125,184,141,-64,43
recon,0.1,29,2043,68,36,184,16,32,168
recon,0.1,3,1553,78,46,201,23,32,178
recon,0.1,4,1766,89,121,205,111,-32,94
recon,0.1,5,2040,39,71,181,80,-32,101
recon,0.1,6,788,139,75,209,107,64,102
recon,0.1,7,1037,82,178,203,44,-96,159
recon,0.1,8,1272,71,7,198,76,64,122
recon,0.1,9,1551,80,304,197,113,-224,84
